app_id,app_name,finding_id,flaw_id,flaw_name,business_unit,cve_id,cve_name,cwe_id,category_name,cwe_description,availability_impact,confidentiality_impact,integrity_impact,nvd_cvss2_score,nvd_cvss3_score,description,found_date,last_found_date,grace_period_expiry_date,status,scan_type,policy_rule_passed,policy_sandbox,source_file_line,attack_vector,mitigation_status,module_name,latest_resolution_status,remediation_effort,resolved_date,fixed_date,severity,filename,static_local_path,component_file_path,local_path,mitigation_last_accepted_date,mitigation_last_accepted_username,mitigation_last_accepted_comment,mitigation_last_proposed_date,mitigation_last_proposed_comment,mitigation_last_proposed_username,mitigation_last_rejected_date,mitigation_last_rejected_comment,mitigation_last_rejected_username,exploitability,flaw_age,static_source_function_name,source_function_name,published_ts,latest_published_date,library_first_found,resolution_status,resolution,reopened_date,original_scan_id,project_name,project_branch,component_name,dependency_type,product_license_info,component_version,component_id,library_vendor,library_description,vulnerability_title,nvd_cvss3_vector_string,library_release_date,library_latest_version,library_latest_release_date,fixed_library_version,library_latest_safe_version,has_vulnerable_methods,vulnerable_method_info,vulnerable_links,last_updated_date,sandbox_id,latest_scan_id,sca_agent_issue,sca_issue_type
1840724,VeraDemo-GithubApp,1.46121E+12,128,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Not Specified,,,80,Cross-Site Scripting (XSS),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.",,,,,,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,65,javax.servlet.jsp.JspWriter.print,Not Mitigated,verademo.veracodegen.war,NONE,3,,,3,blabbers.jsp,WEB-INF/views/blabbers.jsp,,WEB-INF/views/blabbers.jsp,,,,,,,,,,0,1,_jspService,_jspService,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,182,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,248,java.sql.Connection.createStatement,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,showPasswordHint,showPasswordHint,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,164,J2EE Bad Practices: Direct Management of Connections,Not Specified,,,245,API Abuse,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",,,,,,J2EE Bad Practices: Direct Management of Connections,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,223,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,processFeed,processFeed,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,2,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Not Specified,,,78,Command or Argument Injection,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.",,,,,,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,83,java.lang.Runtime.exec,Not Mitigated,verademo.veracodegen.war,NONE,3,,,5,ToolsController.java,com/veracode/verademo/controller/ToolsController.java,,com/veracode/verademo/controller/ToolsController.java,,,,,,,,,,0,1,fortune,fortune,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,129,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Not Specified,,,80,Cross-Site Scripting (XSS),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.",,,,,,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,100,javax.servlet.jsp.JspWriter.print,Not Mitigated,verademo.veracodegen.war,NONE,3,,,3,blabbers.jsp,WEB-INF/views/blabbers.jsp,,WEB-INF/views/blabbers.jsp,,,,,,,,,,0,1,_jspService,_jspService,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,185,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,309,java.sql.Connection.createStatement,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,processRegister,processRegister,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,170,J2EE Bad Practices: Direct Management of Connections,Not Specified,,,245,API Abuse,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",,,,,,J2EE Bad Practices: Direct Management of Connections,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,460,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,showBlabbers,showBlabbers,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,16,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Not Specified,,,89,SQL Injection,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component.",,,,,,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,47,java.sql.Statement.execute,Not Mitigated,verademo.veracodegen.war,NONE,3,,,4,IgnoreCommand.java,com/veracode/verademo/commands/IgnoreCommand.java,,com/veracode/verademo/commands/IgnoreCommand.java,,,,,,,,,,0,1,execute,execute,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,186,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,310,java.sql.Statement.executeQuery,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,processRegister,processRegister,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,168,J2EE Bad Practices: Direct Management of Connections,Not Specified,,,245,API Abuse,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",,,,,,J2EE Bad Practices: Direct Management of Connections,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,382,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,processBlab,processBlab,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,15,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Not Specified,,,89,SQL Injection,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component.",,,,,,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,40,java.sql.Statement.executeQuery,Not Mitigated,verademo.veracodegen.war,NONE,3,,,4,IgnoreCommand.java,com/veracode/verademo/commands/IgnoreCommand.java,,com/veracode/verademo/commands/IgnoreCommand.java,,,,,,,,,,0,1,execute,execute,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,181,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,244,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,showPasswordHint,showPasswordHint,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,162,J2EE Bad Practices: Direct Management of Connections,Not Specified,,,245,API Abuse,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",,,,,,J2EE Bad Practices: Direct Management of Connections,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,175,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,getMoreFeed,getMoreFeed,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,102,Improper Output Neutralization for Logs,Not Specified,,,117,CRLF Injection,The product does not neutralize or incorrectly neutralizes output that is written to logs.,,,,,,Improper Output Neutralization for Logs,11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,39,org.apache.log4j.Category.info,Not Mitigated,verademo.veracodegen.war,NONE,2,,,3,IgnoreCommand.java,com/veracode/verademo/commands/IgnoreCommand.java,,com/veracode/verademo/commands/IgnoreCommand.java,,,,,,,,,,1,1,execute,execute,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,180,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,165,java.sql.Statement.executeQuery,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,processLogin,processLogin,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,166,J2EE Bad Practices: Direct Management of Connections,Not Specified,,,245,API Abuse,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",,,,,,J2EE Bad Practices: Direct Management of Connections,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,293,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,showBlab,showBlab,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,103,Improper Output Neutralization for Logs,Not Specified,,,117,CRLF Injection,The product does not neutralize or incorrectly neutralizes output that is written to logs.,,,,,,Improper Output Neutralization for Logs,11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,46,org.apache.log4j.Category.info,Not Mitigated,verademo.veracodegen.war,NONE,2,,,3,IgnoreCommand.java,com/veracode/verademo/commands/IgnoreCommand.java,,com/veracode/verademo/commands/IgnoreCommand.java,,,,,,,,,,1,1,execute,execute,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,183,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,249,java.sql.Statement.executeQuery,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,showPasswordHint,showPasswordHint,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,161,J2EE Bad Practices: Direct Management of Connections,Not Specified,,,245,API Abuse,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",,,,,,J2EE Bad Practices: Direct Management of Connections,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,69,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,showFeed,showFeed,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,198,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,38,java.sql.Connection.createStatement,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,IgnoreCommand.java,com/veracode/verademo/commands/IgnoreCommand.java,,com/veracode/verademo/commands/IgnoreCommand.java,,,,,,,,,,0,1,execute,execute,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,188,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,479,java.sql.Statement.executeQuery,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,showProfile,showProfile,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,88,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Not Specified,,,80,Cross-Site Scripting (XSS),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.",,,,,,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,196,getMoreFeed,Not Mitigated,verademo.veracodegen.war,NONE,3,,,3,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,getMoreFeed,getMoreFeed,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,199,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,40,java.sql.Statement.executeQuery,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,IgnoreCommand.java,com/veracode/verademo/commands/IgnoreCommand.java,,com/veracode/verademo/commands/IgnoreCommand.java,,,,,,,,,,0,1,execute,execute,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,37,Improper Output Neutralization for Logs,Not Specified,,,117,CRLF Injection,The product does not neutralize or incorrectly neutralizes output that is written to logs.,,,,,,Improper Output Neutralization for Logs,11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,657,org.apache.log4j.Category.info,Not Mitigated,verademo.veracodegen.war,NONE,2,,,3,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,1,1,downloadImage,downloadImage,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,96,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),Not Specified,,,470,Insufficient Input Validation,"The product uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code.",,,,,,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,543,java.lang.Class.forName,Not Mitigated,verademo.veracodegen.war,NONE,2,,,3,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,1,1,processBlabbers,processBlabbers,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,177,Generation of Error Message Containing Sensitive Information,Not Specified,,,209,Information Leakage,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",,,,,,Information Exposure Through an Error Message,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,69,javax.servlet.jsp.JspWriter.print,Not Mitigated,verademo.veracodegen.war,NONE,1,,,2,feed.jsp,WEB-INF/views/feed.jsp,,WEB-INF/views/feed.jsp,,,,,,,,,,0,1,_jspService,_jspService,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,29,Improper Output Neutralization for Logs,Not Specified,,,117,CRLF Injection,The product does not neutralize or incorrectly neutralizes output that is written to logs.,,,,,,Improper Output Neutralization for Logs,11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,375,org.apache.log4j.Category.info,Not Mitigated,verademo.veracodegen.war,NONE,2,,,3,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,1,1,processRegisterFinish,processRegisterFinish,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
